12.24, 2.71, 0.24 
12.28, 2.63, 0.21 
12.31, 2.63, 0.31 
12.29, 2.80, 0.27 
12.27, 2.83, 0.29 
12.26, 2.84, 0.24 
12.33, 2.80, 0.21 
12.28, 2.78, 0.23 
12.36, 2.81, 0.25 
12.32, 2.70, 0.26 
12.27, 2.88, 0.25 
12.33, 2.89, 0.24 
12.31, 2.76, 0.27 
12.33, 2.81, 0.26 
12.31, 2.84, 0.28 
12.29, 2.76, 0.29 
12.21, 2.75, 0.28 
12.23, 2.79, 0.27 
12.27, 2.90, 0.30 
12.30, 2.82, 0.24 
12.28, 2.79, 0.27 
12.32, 2.83, 0.23 
12.32, 2.83, 0.29 
12.31, 2.69, 0.29 
12.31, 2.75, 0.28 
12.35, 2.81, 0.26 
12.29, 2.73, 0.28 
12.29, 2.96, 0.25 
12.30, 2.83, 0.25 
12.25, 2.64, 0.28 
12.34, 2.61, 0.29 
12.29, 2.77, 0.22 
12.32, 2.67, 0.26 
12.35, 2.96, 0.27 
12.28, 2.74, 0.24 
12.32, 2.85, 0.23 
12.33, 2.66, 0.30 
12.36, 2.82, 0.29 
12.35, 2.90, 0.26 
12.35, 2.85, 0.21 
12.26, 2.94, 0.21 
12.35, 2.78, 0.21 
12.37, 2.84, 0.24 
12.33, 2.83, 0.17 
12.22, 2.75, 0.30 
12.36, 2.85, 0.23 
12.36, 2.80, 0.23 
12.30, 2.78, 0.22 
12.33, 2.79, 0.30 
12.29, 2.75, 0.22 
12.30, 2.78, 0.25 
12.33, 2.73, 0.26 
12.34, 2.87, 0.27 
12.23, 2.70, 0.29 
12.35, 2.89, 0.26 
12.32, 2.84, 0.26 
12.37, 2.82, 0.22 
12.19, 2.80, 0.27 
12.25, 2.78, 0.32 
12.27, 2.74, 0.29 
12.34, 2.89, 0.23 
12.33, 2.86, 0.23 
12.32, 2.83, 0.24 
12.36, 2.71, 0.28 
12.28, 2.80, 0.20 
12.31, 2.83, 0.26 
12.28, 2.72, 0.32 
12.31, 2.76, 0.30 
12.39, 2.72, 0.26 
12.27, 2.73, 0.27 
12.35, 2.76, 0.30 
12.32, 2.80, 0.25 
12.31, 2.72, 0.28 
12.29, 2.67, 0.30 
12.27, 2.79, 0.29 
12.28, 2.85, 0.22 
12.29, 2.77, 0.29 
12.34, 2.86, 0.23 
12.33, 2.81, 0.28 
12.34, 2.78, 0.32 
12.27, 2.81, 0.28 
12.33, 2.79, 0.27 
12.30, 2.68, 0.26 
12.22, 2.72, 0.26 
12.29, 2.73, 0.24 
12.25, 2.88, 0.25 
12.30, 2.82, 0.24 
12.29, 2.75, 0.30 
12.30, 2.79, 0.33 
12.37, 2.71, 0.21 
12.35, 2.98, 0.24 
12.25, 2.76, 0.31 
12.34, 2.83, 0.28 
12.28, 2.79, 0.26 
12.30, 2.85, 0.22 
12.32, 2.76, 0.30 
12.32, 2.63, 0.24 
12.22, 2.91, 0.24 
12.36, 2.75, 0.27 
12.33, 2.67, 0.29 
